,Document,Category,T1,T2,T3,T4,T5,T6
63,"Customs and culture should create women's independence to actualize themselves in an era of emerging social progress in order to lead to the domination of women in the development of creative businesses. This research examines the role of social capital and whether it becomes a supporting or hindering factor in developing the creative industry of women entrepreneurs by examining the role of information sharing and innovations. Employing purposive sampling, questionnaires were distributed to 200 women entrepreneurs, and data were analyzed by using Structural Equation Modeling(PLS-SEM)software with SmartPLS Version 3.0. Social capital has a positive influence on the business performance of women entrepreneurs in Bali, Indonesia. Thus, the beliefs and norms that exist in the social capital of the Balinese Hindu concept can filter the information obtained from various information in business, which will ultimately be utilized by women entrepreneurs to create various innovations to meet the market demand. However, opportunities for women entrepreneurs are very limited to capital due to lack of guarantees to get capital, and a lack of entrepreneurship skills in the technological era, market access, bureaucracy, and legalization. Further, managerial skills, access to information technology, as well as the perspective that the men must be superior in Balinese culture and customs, make business for women entrepreneurs limited. ",Social Sciences & Humanities,0.022,-0.012,-0.023,-0.033,-0.018,0.013
64,"Despite a growing interest in the phenomenon of Open Innovation, empirical evidence documenting the link between new product development capabilities, OI practices, and new product innovativeness is scarce. Eminent scholars have called for large-scale studies that systematically investigate the OI paradigm. Drawing on the knowledge-based view of the firm, new product development, and NPD capabilities literature streams, we conceptualize a framework in which OI practices are disentangled according to the stage of the new product development process in which they occur (development stage or commercialization stage). We identify two major types of OI practices: development-centric OI (which occurs in the development stage) and commercialization-centric OI (which occurs in the commercialization stage). Specific types of NPD capabilities—R&D, market information management, and launch—are expected to both influence the extent to which each OI practice is implemented and moderate the effect of each OI practice on product portfolio innovativeness and firm performance. The empirical analysis combines primary data from a survey of 239 firms with secondary data on innovation and financial outcomes. Our results support our hypotheses and indicate a need to differentiate among the different kinds of OI practices while elaborating on the complex role played by NPD capabilities in influencing OI practices. ",Social Sciences & Humanities,0.063,-0.03,0.157,0.004,0.053,0.004
65,"Despite growing interest of Open Innovation in Software Engineering (SE), little is known about what triggers software organizations to adopt it and how this affects SE practices. OI can be realized in numerous of ways, including Open Source Software (OSS) involvement. Outcomes from OI are not restricted to product innovation but also include process innovation, e.g. improved SE practices and methods. This study explores the involvement of a software organization (Sony Mobile) in OSS communities from an OI perspective and what SE practices (requirements engineering and testing) have been adapted in relation to OI. It also highlights the innovative outcomes resulting from OI. An exploratory embedded case study investigates how Sony Mobile use and contribute to Jenkins and Gerrit; the two central OSS tools in their continuous integration tool chain. Quantitative analysis was performed on change log data from source code repositories in order to identify the top contributors and triangulated with the results from five semi-structured interviews to explore the nature of the commits. The findings of the case study include five major themes: i) The process of opening up towards the tool communities correlates in time with a general adoption of OSS in the organization. ii) Assets not seen as competitive advantage nor a source of revenue are made open to OSS communities, and gradually, the organization turns more open. iii) The requirements engineering process towards the community is informal and based on engagement. iv) The need for systematic and automated testing is still in its infancy, but the needs are identified. v) The innovation outcomes included free features and maintenance, and were believed to increase speed and quality in development. Adopting OI was a result of a paradigm shift of moving from Windows to Linux. This shift enabled Sony Mobile to utilize the Jenkins and Gerrit communities to make their internal development process better for its software developers and testers.",Social Sciences & Humanities,0.046,-0.068,0.061,-0.011,0.05,0.005
66,"Despite mounting evidence on the potential benefits of inbound Open Innovation, little is known about how firms purposefully manage inflows of knowledge. We investigate the use of two knowledge governance procedures-project management and knowledge matching-in collaborative inbound Open Innovation. Our findings suggest that, in addition to ""knowledge-precursors,"" which the literature on Open Innovation and absorptive capacity has shown to be important for the integration of external knowledge, the firm's choice of knowledge governance matters for innovation performance. ",Social Sciences & Humanities,0.027,0.023,-0.019,0.092,-0.009,0.008
67,"Despite pervasiveness of the market forces and supplementary role of the state and in some cases, even civil society organisations, there are unmet social needs which remain unaddressed by the existing institutions. With industrial growth becoming jobless, the need for new models of social innovation is being felt all around the world to provide jobs to the youth, skills for the new economy and entrepreneurial opportunities for transforming resources and skills. The persistence of some of these unmet needs (also referred as wicked problems sometimes) or unaddressed problems for a long time shows that the existing institutional arrangements are inadequate for the purpose. Innovations are imperative. A socio-ecological system that recognizes and rewards innovation can withstand many external shocks, provided it is agile and innovates quickly to remain responsive to emergent challenges (Anderies, Janssen, & Ostrom. Ecology and society, 9(1)2004). Whether corporations will follow an Open Innovation approach to blend grassroots ideas and innovations with their expertise in a reciprocal, responsible and respectful manner (Gupta et al., Journal of Open Innovation: Technology, Market, and Complexity 2: 16, 2016) is still an open question. The design of appropriatemanufacturing and frugal supply chain will then become closely linked with other features of Open Innovation ecosystem. The debate on the role of social innovation in multi-stakeholder context in European focused on how these innovations fostered trust among different actors and influenced policy (Defourny and Nyssens. Social Enterprise Journal 4: 202-228, 2008). In this paper, we describe the market and social forces which influence the emergence of social innovations through various processes. We then look into the evolutionary pathways for social innovations (Mulgan, Innovations 1: 145-162, 2006), to avoid inertia and spur initiatives to bridge the social gap in an inclusive manner through mobilization of youth in particular. The ecosystem for social Open Innovations provides scope for connecting corporations and communities (Herrera, 2015; Gibson-Graham and Roelvink, Social innovation for community economies: how, 2013). Following the theory of reciprocal and responsible Open Innovation systems (Gupta et al., Journal of Open Innovation: Technology, Market, and Complexity 2: 16, 2016), we explore the way barriers are overcome on the way to reach the base of economic pyramid [BOEP] customer. Technological adaptability and institutional or market adaptability are explored to understand how communities get empowered to deal with corporations through an Open Innovation platform. The corporations need to be empowered to understand the decision heuristics followed by grassroots and community frugal innovators (Gupta, Innovations 1: 49-66, 2006). Just as communities need to be empowered to negotiate fair and just exchange relationship with corporations (Honey Bee Network, 1990-2017). Finally, we conclude with the recommendations based on the experiences of grassroots innovators that can enrich both social innovations and social enterprises following commercial as well as social business models for meeting the unmet needs of the disadvantage section of the society. ",Social Sciences & Humanities,0.042,-0.04,-0.068,-0.049,0.005,-0.019
68,"Despite the exponential rise of social media use in external stakeholder engagement, academic research and managerial practice have paid little attention to how it can be used for Open Innovation across the entire innovation funnel, spanning ideation, R&D, and commercialization. As a result, there is little understanding of how companies can organize for and implement social media for Open Innovation. Utilizing a multiple case study design, this article examines its application across the entire innovation process. It proposes a range of organizational and technological adaptations that managers can implement to ensure they realize the innovative benefits of social media application. ",Social Sciences & Humanities,0.016,-0.013,-0.014,-0.009,-0.004,-0.014
69,"Despite the massive interest in Open Innovation, limited attention has been expressed concerning the intra-organizational challenges in implementing it. An exemplary issue is the unwillingness of employees to undertake extra-organizational knowledge transactions in the form of negative attitudes against the sourcing of external knowledge (the not-invented-here (NIH) syndrome) and against the external exploitation of knowledge assets (the not-shared-here (NSH) syndrome). Using survey data collected from 331 firms, this article empirically assesses the theoretical assertion that the NIH and NSH syndromes have negative impacts on the adoption of inbound and outbound Open Innovation. Furthermore, it investigates how their effects can be reduced through competence-building programs based on the training of employees. By focusing on two attitudinal antecedents to openness, the findings offer an explanation for the problems that firms face in benefiting from inflows and outflows of knowledge and possible guidance as to how managers can disengage such attitudes. ",Social Sciences & Humanities,0.027,0.022,-0.013,0.064,-0.011,0.002
70,"Despite the wealth of research on Open Innovation, the mechanisms that enable capturing value through adopting an Open Innovation approach remain largely unexplored. In this study, we focus on Open Innovation processes among firms and radical circles and shed light on the related value capture mechanisms. We rely on a detailed qualitative case analysis of collaborations between firms and three radical circles (i.e., Slow Food, Memphis, and the Free Software Foundation). Our case studies highlight that the firms captured value from collaborating with these radical circles through developing internal assets (reputational, organizational, intellectual and human, and technological) and new business models. Starting from these insights, the study offers several contributions to Open Innovation research as well as interesting avenues for future inquiry into this topic. ",Social Sciences & Humanities,0.03,0.01,-0.013,-0.021,0.027,-0.035
71,"Despite the well-recognised contribution of design to business, practitioners still find it challenging to manage design assets. Given that one cannot manage a business without measuring these assets, researchers and practitioners deem that the lack of a practical measuring tool for design is the cause of this unfavorable situation. Hence, establishing relevant criteria for measuring design effectiveness is essential for developing the tools. However, criteria must anticipate key business outcomes in order to demonstrate effectiveness, and to propose actionable items. Whether the outcome is sales figures or customer satisfaction survey results, the criteria should clearly link with business goals. Also, the technologies in the Fourth Industrial Revolution facilitate the quantification of customer behaviour related to business performance, such as lingering time on the website for shopping. In this context, statistical understanding of design elements is critical for determining appropriate strategies in the era of digitalised data. By utilising a Service Blueprint, this study also proposes a novel approach to tackle current challenges regarding the Open Innovation process. Since appropriately-developed design elements are the prerequisite of successful measurement, this study extracts the elements through in-depth interviews, and examines them quantitatively with existing business theory. As a result, design elements for the food and beverage service business are confirmed by using the Structural Equation Modeling.",Social Sciences & Humanities,0.027,-0.02,-0.023,-0.036,-0.018,0.004
72,"Determining the effects of Open Innovation: the role of knowledge and geographical spillovers. Regional Studies. This paper examines the influence of open-innovation strategies and knowledge spillovers on innovative performance on a large sample of Spanish manufacturing firms during 1998–2013. Although most open-innovation strategies positively influence innovation, some differences are found depending on the search innovative strategy: technological collaboration with universities, providers, and external research and development (R&D) advice have a positive effect, while collaborations with customers and competitors are not significant. Finally, the paper confirms the positive effects of involuntary knowledge spillovers only for product innovation and of R&D neighbours in the same sector; and the negative effect of R&D neighbours in other sectors. ",Social Sciences & Humanities,0.031,0.014,-0.009,0.029,-0.039,0.009
73,"Digital transformation has undoubtedly become a key enabler of innovation as evidenced by the numerous firms that use digital technologies to manage their innovation processes. This issue is even more relevant today when innovation processes have become more open and require greater resources in the different implementation phases to capture and transfer knowledge within and outside the firm's boundaries. This implies additional challenges in managing the increasing amount of knowledge and information flows. Accordingly, digital technologies can be used and implemented to manage Open Innovation processes through easier access and sharing the knowledge created and transferred. Nevertheless, literature in these fields does not provide a structured view of how and why digital technologies are used to manage innovation processes in an open perspective. This paper aims to bridge this gap by adopting the theoretical lenses of change management to identify the managerial actions at organizational and process level that companies perform to implement digital technologies in their Open Innovation processes. Accordingly, the paper investigates how and why these managerial actions required for and enabled by digital technologies help firms to develop and nurture Open Innovation. From an empirical point of view, the exploratory multiple case study analyzes nine firms operating in different industries and varying in size, market share, and organizational structure.",Social Sciences & Humanities,0.05,0.024,-0.048,0.013,0.075,0.077
74,"Digitalization has increased the adoption pace of Industry 4.0 technologies, particularly in connection with Open Innovation. However, companies are still finding it challenging to know the variety of Industry 4.0 technologies available, and their fit with the scope of the organization. To address this issue, a cross-sectional research design under quantitative approach was adopted. The data were collected first-hand through a survey questionnaire from a total of 238 technology companies in Malaysia. Technology companies were selected as they have higher agility in terms of technology which suits the digital revolution nature of Industry 4.0. The findings of this descriptive study revealed a range of insights in terms of Industry 4.0 technologies and Open Innovation. First, this study presents the standing of technology companies in terms of 12 Industry 4.0 technologies. Second, a comparison of these technologies is analyzed in terms of company size (small, medium, and large). Third, a contrast of these technologies is ascertained based on the type of company (manufacturing and services). In brief, this research contributes in providing valuable insights that can help companies in the awareness of Open Innovation and adoption of Industry 4.0 technologies. ",Social Sciences & Humanities,0.04,-0.007,-0.055,-0.08,0.053,0.213
75,"Drawing upon data from the fifth UK Innovation Survey, this article sheds light on how management choices on the nature of appropriation relate to management choices on the degree of openness within small and medium-sized enterprises (SMEs). To this end, our findings indicate a threshold effect of both informal and formal appropriation mechanisms on the likelihood of engaging in both coupled and inbound Open Innovation. That is, an emphasis on appropriation appears to be important in shifting firms from a closed to an open strategy. There is, however, little evidence that either approach to appropriation increases the extent of Open Innovation. In this, only informal intellectual property (IP) protection mechanisms associate with an increasing extent of inbound Open Innovation. ",Social Sciences & Humanities,0.013,0.008,0.006,-0.001,-0.003,-0.005
76,"Driven by a rapid development of the so-called ‘Open Innovation’ paradigm, previous studies have provided broad evidence of the positive effects of external knowledge sources on innovation. Yet, little is known about the impact of external knowledge sources on innovative activities in the renewable energy sector. Based on an analysis of original survey results involving R&D organisations, we examine the role of different knowledge sourcing strategies for innovation in two technology fields, namely solar and wind power. The link between external knowledge sourcing and innovation performance is found to depend on sourcing strategies and technology fields. Our results contribute to the evaluation of strategy design by showing that solar power innovation benefits from a broad search strategy drawing on a large number of external knowledge sources, while wind power innovation tends to thrive through intensive use of a more limited number of external sources. We derive implications for innovation and energy policy. ",Physical Sciences,0.038,0.014,-0.031,0.072,-0.035,0.083
77,"Due to a variety of barriers to develop innovation, small and medium enterprises (SMEs) find it necessary to collaborate with external sources of knowledge. The current study analyses the collaboration between SMEs and academia over an Open Innovation setting in Mexico. An absorptive capacity (ACAP) approach has been applied to understanding the process of developing new knowledge for achieving innovation. A two-part questionnaire was developed with the aim of assessing the ACAP of a new joint research unit. Data was collected from a local group of SMEs that collaborated as dyads with academia supported by a government program of innovation in Mexico. The result shows that there was a moderate potential and realized ACAP in the sample; these results are mutually related with both parts of the questionnaire which supports our findings. In conclusion, exploitation of new knowledge is a complex dimension for creating value from collaboration, which makes the outcome difficult to measure using traditional means. It can be argued that exploiting new knowledge for innovation is an iterative process of learning when exploring new sources of knowledge from academia.",Social Sciences & Humanities,0.038,-0.026,-0.041,0.055,-0.012,0.009
78,"Economic geography increasingly conceptualises innovation as a collective action. However, the literature on clusters often reduces the collective dimension to the circulation of knowledge between local and regional organisations based on various forms of (market, organisational, social, institutional or cognitive) co-ordination. This paper diverges from this grass-roots perspective by discussing the role of collective actions in clusters-i.e. actions developed by a large number of cluster members acting as a group. Empirical evidence drawing on a study of three digital clusters in the Paris region shows that the cluster as a collective entity holds agency and-thanks to reflexive co-ordination-can contribute to Open Innovation, including innovation-seeking partnerships in the early stages of cluster life cycles. ",Social Sciences & Humanities,0.013,-0.01,-0.013,0.007,-0.001,-0.009
79,"Embracing outside-in Open Innovation can result in a plethora of organizational advantages, including improved innovation performance. Although some studies have found that outside-in OI improves innovation performance, others have shown that it has no effect or even a negative effect. This mixed empirical evidence leads to a need to unpack the relationship between outside-in OI and innovation performance, and to examine how certain key mediating variables related to the outside-in OI process can ensure that outside-in OI turns into improved innovation performance. Thus, this paper aims to examine the influence of outside-in OI on innovation performance considering the mediating roles of knowledge sharing and innovation strategy. This paper draws on a cross-industrial sample of 112 firms. Data are analyzed using a set of ordinary-least-squares regression models and the bootstrap procedure. Results show that knowledge sharing and innovation strategy fully mediate the relationship between outside-in OI and innovation performance. ",Social Sciences & Humanities,0.045,-0.008,0.094,0.014,-0.066,0.04
80,"Enabling individuals to perform Open Innovation practices requires an in-depth analysis of the context in which those practices are enacted. However, research on the context within which Open Innovation is practiced, is still in its beginning. This paper develops a theoretical framework of the relationship between Open Innovation practices, individuals performing those practices, and context factors that enable or constrain those individuals carrying out Open Innovation practices. Moreover, the paper reports empirical research on context factors enabling or constraining salespeople in performing customer knowledge absorption practices, a specific subset of Open Innovation practices, in a pharmaceutical packaging machines firm. The paper contributes to Open Innovation research by: 1) advancing a contextual view on Open Innovation; 2) emphasising the need to distinguish between Open Innovation practices that provide an analytical tool to unravel the social dimension of Open Innovation; 3) identifying context factors that enable or constrain customer knowledge absorption. ",Social Sciences & Humanities,0.031,-0.02,-0.004,0.022,0.012,-0.049
81,"Entrepreneurship literature has proven the efficacy of an experiential and collaborative learning approach that promotes entrepreneurial capabilities, that is, risk-taking, positive thinking, vision, intuitive decision-making, creative problem-solving, managing interdependency, tolerating ambiguity and innovation. To advance this, we propose a Deleuzian-inspired theoretical framework for entrepreneurship learning around innovation based on a rhizomatic perspective. We offer an illustrative case and identify the advantages and challenges of a rhizomatic approach to learning. ",Social Sciences & Humanities,0.008,-0.01,-0.003,-0.001,0.001,-0.004
82,"Environmental innovation research has not yet clarified how different forms of inbound innovation might exert effects. The current article proposes four driver-based EI types according to two main dimensions: compliance versus voluntary and own value capture versus customer value capture. With a problem-solving perspective, we develop links from different forms of inbound innovation to various types of EI and test the related hypotheses with two waves of the French Community Innovation Survey. On a short-term basis, R&D cooperation and technology acquisition correlate positively with all four types of EI, but over time, persistent R&D cooperation and technology acquisition are associated with EI only at the production stage, according to voluntary/strategic or compliance drivers. Inbound innovation enables quick responses to market demands for EI in the final use stage. ",Social Sciences & Humanities,0.018,0.0,-0.016,-0.02,0.008,0.036
83,"Even in today’s turbulent business environment, there are companies in many industries that have enjoyed decades of relatively undisturbed success. However, eventually, after such prolonged periods of calm, existing market positions are challenged. We describe such companies as ‘Sleeping Beauties’ and discuss how they can reinvent themselves through opening up of their boundaries and moving from compartmentalized exploitation and exploration efforts to a more dynamic ambidexterity model. We analyse Swarovski’s Open Innovation journey in this regard, instigated as a response to recent changes in its business environment. Our analysis of this process offers useful insights for companies struggling with similar problems. ",Social Sciences & Humanities,0.01,-0.016,-0.016,-0.018,0.006,0.007
84,"Extant research demonstrates that e-Government initiatives often fall short of achieving innovative forms of government and governance due to a techno-centric focus that limits such initiatives to minor improvements in service delivery. While it is evident that innovation is central to modernising and transforming governmental organisations, and that the co-creation of services by public authorities and community groups is an essential component of realising the benefits of investment in information and communication technology, there is little research focusing on the nature of innovation in transforming governmental organisations and services. Addressing this gap in the literature, this paper explores how Open Innovation strategies can transform public administration by examining how a network of municipalities in Sweden transforms value creation and service delivery by collaborating with each other and with external parties to accelerate the creation and exploitation of innovation. Using a case study with embedded units of analysis, four emerging typologies of governmental transformation based on Open Innovation are identified. The paper illustrates how these Open Innovation typologies (i) transform the organisation of the municipalities and (ii) help them deliver high quality co-created services to citizens. By examining the strategic and operational aspects that facilitate such activities, the analysis reveals the impact of Open Innovation on the business models of public authorities. The paper concludes that Open Innovation practices represent a more radical manifestation of transformational government than previously envisaged; signalling not only fundamental change in the nature of value creation and service delivery by public authorities, but potentially in the nature of their organisation. ",Social Sciences & Humanities,0.03,-0.033,-0.027,-0.026,0.007,-0.001
85,"Extant research has found superior performance of firms located in clusters. However, it is unclear whether this is based on mere proximity or other unobserved factors. We extend this literature by developing a framework to examine in what way institutions promote Open Innovation processes between clustered firms. Specifically, we develop a set of hypotheses to investigate to what extent structural and relational elements in a cluster organization affect the Open Innovation culture. Our model integrates effects of agglomeration, networks, information asymmetries and trust on Open Innovation culture. We focus on the underlying organizational norms established in clustered firms in relation to Open Innovation. Specifically, we measure Open Innovation culture in terms of not-invented- and not-sold-here syndromes, which is facilitated by the integration of trust and reduced by information asymmetry within the cluster region. We test this framework using novel and unique data from member and non-member firms of a cluster initiative in a German high-tech cluster. Our findings from moderation analysis show that a regulatory body in the cluster significantly influences the emergence of both inbound and outbound Open Innovation activities by member firms in the cluster initiative through increased effects of trust and information asymmetries. Thereby, our paper contributes to literatures of Open Innovation, including networks of small and medium sized enterprises (SMEs), and cluster policy. ",Social Sciences & Humanities,0.041,0.039,0.004,-0.026,0.01,-0.045
86,"Extant research has neglected an in-depth examination of the relationship between external knowledge sourcing and the ability of firms to balance radical and incremental innovation activities (i.e., innovation ambidexterity). Therefore, the present paper seeks to reveal the effects of knowledge sourcing activities directed toward three relevant supply chain stakeholders (i.e., suppliers, customers, and competitors) on innovation ambidexterity. Based on a sample of 5897 firms that participated in the Italian Innovation Survey (IIS) (2008–2010), we reveal that sourcing knowledge from suppliers, customers, and competitors has a positive influence on innovation ambidexterity, hence confirming our hypotheses. Specifically, suppliers represent the most relevant knowledge source, followed by customers and, then, competitors. These results expand the literature discussing the relationship between inbound Open Innovation and ambidexterity performance, which falls short of a clear understanding of whether and the extent to which sourcing knowledge from supply chain stakeholders facilitates achieving innovation ambidexterity. ",Social Sciences & Humanities,0.034,0.021,-0.015,0.072,-0.026,-0.003
87,"Extant research on Open Innovation offers no systematic insight of how and why firms differ regarding the extent to which they conduct OI activities. Whereas past theoretical contributions have focused on explaining the externalisation of R&D activities as a result of firm-external factors, we focus on explaining this externalisation as a result of firm-internal weaknesses, specifically, impediments to innovation. Using the exploration-exploitation dichotomy as our theoretical framework, we develop hypotheses on how impediments to innovation influence the breadth and depth of OI. We then test these hypotheses by using an exceptionally large and detailed data set to estimate population-averaged panel models. Our results provide support for most of the hypothesised relationships. Further, they allow to identify four 'archetypes' of firms that differ significantly regarding the breadth and depth of OI and the importance of impediments. Finally, we discuss the significance of these findings for both academics and managers. ",Social Sciences & Humanities,0.033,0.026,0.05,-0.008,0.025,-0.019
88,"Few studies on Open Innovation address OI practices in small and medium-sized enterprises (SMEs) and how their use of OI and the resulting benefits differ from those of large enterprises. The lack of resources in SMEs to engage in looking outward is said to be a barrier to OI, but at the same time this shortage is cited as a motive for looking beyond organisational boundaries for technological knowledge. We investigate how OI dimensions impact the innovative performance of SMEs in comparison to large companies. The key finding is that the effects of OI practices in SMEs often differ from those in large firms. SMEs are more effective in using different OI practices simultaneously when they introduce new products on the market, whereas this is less the case for large firms. Turnover from new products in SMEs is driven by intellectual property protection mechanisms, while large firms in this case benefit more from their search strategies. ",Social Sciences & Humanities,0.042,0.002,0.09,-0.001,0.022,-0.011
89,"Findings – The analysis allows us to propose a theoretical framework and to highlight how different structural capital shape heterogeneous processes by which incubatees build their RC. The authors find that important differences in RC formation are present both at an exchange of knowledge level within the incubator, and across incubator boundaries.Purpose – The purpose of this paper is to investigate the strategies business incubators (BI) adopt in respect to the creation of incubatee intellectual capital, and it focuses in particular on links between BI structural capital and the creation of incubatee relational capital (RC). By crossing IC literature with the Open Innovation paradigm the authors consider the incubator as an innovation intermediary and the authors investigate how different incubator strategies of knowledge exchange take place within and across incubator boundaries. The main issues the authors seek to explore regard the mechanisms by which incubators shape the exchange of knowledge within and across their boundaries and the rationale underlying such an approach.Design/methodology/approach – The analysis is based on a multiple case study research involving five Italian incubators. Primary and secondary data were gathered through interviews with each incubator managing director and with relevant actors.Research limitations/implications – The main limitations of this study regard the generalizability of results. This is mostly an exploratory work and further research based on quantitative rather than qualitative analysis, would provide stronger evidence in order to validate the results with respect to the population of incubators and consequently lead to more precise policy implications.Originality/value – The analysis points to the importance of recognizing different BI approaches regarding the mechanisms by which incubatees develop their RC, and allows us to gain a knowledge-based conceptualization of incubators. This definition moves beyond the more diffuse classification based on public vs private and sectoral specificities, and introduces some new insights for further research. ",Social Sciences & Humanities,0.054,-0.065,-0.036,0.049,0.013,-0.022
90,"Firms are increasingly leveraging social media tools to access knowledge from external actors, particularly customers and other users, to facilitate the innovation process and firm performance. Yet empirical research investigating the impact of external knowledge sourced via social media tools is scant; empirical studies that do exist are mixed, leading to calls for research into the conditions under which knowledge flows via social media from external actors contribute to innovation and firm performance. Using a large-scale survey of firms in Tasmania, Australia, this study examines how external knowledge flows from market-based actors sourced by social media influence innovation and business performance, and the extent to which modern human resource management (HRM)practices moderate this relationship. We find that while knowledge flows from market-based actors are positively related to innovativeness, the relationship between external knowledge flows via social media and innovativeness depends on the importance a firm places on modern HRM practices: a significant positive relationship exists between knowledge sourced via social media and innovativeness when firms attach high importance to modern HRM practices. In contrast, there is no significant relationship in firms in which modern HRM practices are of low importance. The study also shows that social media serves as a mediator for the effect of external knowledge flows on firm innovativeness when firms attach high importance to modern HRM practices. Furthermore, while the results demonstrate that innovativeness and firm performance are positively related, innovativeness does not translate into improved firm performance in firms that attach low importance to modern HRM practices. Taken together, the findings underscore the importance of modern HRM practices to enable knowledge inflows via social media to influence innovativeness, and innovativeness to translate into productivity benefits. ",Social Sciences & Humanities,0.109,0.151,-0.013,0.118,-0.053,-0.098
91,"Firms in many industries are seeking to incorporate ideas from outside parties to complement their own internal resources and capabilities. Suppliers, distributors, end users, scientists, firms in unrelated industries and even competitors can be important sources of information and ideas. Furthermore, with the computing capabilities available today, firms can scan online communities for sources of ideas and even harness the ideas generated by a select few key users with insights into emerging mainstream customer needs. All of this additional input helps firms compete profitably in an increasingly difficult environment. New trends include Open Innovation, crowdsourcing, user toolkits, mass customization and lead-user analysis. While there is emerging academic research on all of these topics, their usefulness in fashion marketing and merchandising remains relatively unexplored. This is potentially a great research opportunity, as fashion designers can obtain key ideas that boost competitiveness by working more closely with customers, suppliers, retailers and other parties. This article presents the state of the art in each of these trends, and concludes with a discussion of the implications for fashion marketing and merchandising academic research and practice. ",Social Sciences & Humanities,0.031,0.025,-0.014,-0.015,0.035,-0.043
92,"Firms in Open Innovation ecosystems expand organizational resources and allow for collaborations across organizations, which can promote the flow, aggregation, and integration of resources within business network ecosystems. Yet, particular gaps in the literature limit our understanding of how Open Innovation ecosystems contribute to firm product innovation. Therefore, this study explores the causal recipes of how Open Innovation ecosystem modes promote product innovation by using both grounded theory and fuzzy set qualitative comparative analysis (fsQCA). First, by taking four innovative firms as case studies and applying grounded theory, we identify six specific Open Innovation ecosystem modes: “firm-university-institute cooperation,” “interfirm cooperation,” “firm-intermediary cooperation,” “firm-user cooperation,” “asset divestiture,” and “technology transfer.” Then, based on the data of 226 innovative firms, we employ fsQCA to explore the causal configurations of the Open Innovation ecosystem modes that consistently improve product innovation. The findings reveal that three particular combinations can explain the high level of product innovation: (1) interfirm cooperation, firm-intermediary cooperation, and technology transfer combined with asset divestiture; (2) interfirm cooperation, firm-intermediary cooperation, and technology transfer combined with firm-university-institute cooperation; and (3) interfirm cooperation, firm-intermediary cooperation, and firm-university-institute cooperation combined with firm-user cooperation. Overall, this work contributes to the theoretical literature on Open Innovation ecosystems and provides practical information for firms looking to achieve value creation. ",Social Sciences & Humanities,0.071,0.166,-0.008,-0.038,0.137,-0.061
93,"Firms increasingly acquire technological knowledge from external sources to improve their innovation performance. This strategic approach is known as inbound Open Innovation. The existing empirical evidence regarding the impact of inbound Open Innovation on performance, however, is ambiguous. The equivocal results are due to moderating factors that influence a firm's ability to acquire technological knowledge from external sources and to transform it into innovation outputs. This paper focuses on a relevant yet overlooked category of moderating factors: organization of research and development (R&D). It explores two organizational mechanisms: one informal and external-oriented (involvement of external consultants in R&D activities) and one formalized and internal-oriented (existence of a dedicated R&D unit), in the acquisition of technological knowledge through R&D outsourcing, a particular contractual form for inbound Open Innovation. Drawing on a capabilities perspective and using a longitudinal dataset of 841 Spanish manufacturing firms observed over the period 1999-2007, this paper provides a fine-grained analysis of the moderating effects of the two organizational mechanisms. The involvement of external consultants in R&D activities strengthens the impact of inbound Open Innovation on innovation performance by increasing marginal benefits of acquiring external technological knowledge through R&D outsourcing. Moreover, it reduces the level of inbound Open Innovation to which the highest innovation performance corresponds. Instead, the existence of a dedicated R&D unit makes the firm less sensitive to changes in the level of inbound Open Innovation, by reducing marginal benefits of acquiring external technological knowledge through R&D outsourcing, and increases the level of inbound Open Innovation to which the highest innovation performance corresponds. The results regarding the role of informal and formalized R&D organizational mechanisms contribute to research on Open Innovation and absorptive capacity, and also inform managers as to what organizational mechanism is recommended to acquire external technological knowledge, depending on the objectives that the firm pursues. ",Social Sciences & Humanities,0.075,0.08,-0.012,0.094,-0.093,0.03
94,"Firms increasingly adopt an Open Innovation model in which they rely on technology alliances to complement and supplement their internal innovation efforts. Although previous studies provide in-depth insight into the impact of technology alliances on the innovation performance, they remain relatively silent on how technology alliances eventually influence the financial performance of the firm. The purpose of this paper is to develop and test a conceptual framework that disentangles both the value-enhancing and cost-increasing effects of technology alliances on financial performance. The model was tested with a sample of 305 Belgian manufacturing firms. Combining data from the Belgian Community Information Survey (CIS IV) database and the BELFIRST database, structural equation analyses were conducted on the connection among technology alliance portfolio diversity, product innovation performance, and financial performance. This study's data provide empirical confirmation for the 0061ssumption of existing research that technology alliance portfolio diversity has an indirect positive impact on financial performance via increased product innovation performance. However, a direct cost-increasing effect of technology alliance portfolio diversity on financial performance is observed. Moreover, the structural equation analyses suggest that, in the short-term, the direct cost-increasing effect of technology alliance portfolio diversity exceeds the indirect value-generating effect of technology alliances. These findings contribute to the current research on Open Innovation in two important ways. First, these results support the Open Innovation model by illuminating the interconnectedness between internal and external innovation strategies. In particular, technology alliance portfolio diversity has a positive impact on internal innovation efforts, which increases product innovation performance. Second, the findings complement the focus of existing Open Innovation research on the value-generating properties of technology alliances, directing attention to the cost-increasing effects of such collaborative strategies. On a managerial level, these findings suggest that, when making technology alliance decisions, managers not only should consider the potential benefits of such collaborative strategies but also should take into account the additional costs of intensifying the technology alliance portfolio. ",Social Sciences & Humanities,0.084,0.069,-0.019,-0.118,-0.092,0.266
